Id,Start time,Completion time,Email,Name,What is your age group?,What is your occupation?,How often do you use the internet for work or personal activities?,Which devices do you use regularly?,How would you rate your cybersecurity knowledge based on your experience and security habits?.Rate your cybersecurity knowledge.,Which of the following is the most secure way to create a password?,"Have you ever been a victim of a cyber threat (e.g., phishing, hacked account, identity theft)?",If you choose yes above: What type of cyber threat did you experience?,Which of the following do you think are cybersecurity threats?,How have you learned about Cyber Security?,How do you typically create your passwords?,How often do you update your passwords?,"If you don’t update passwords regularly, why not?",Do you enable Two-Factor Authentication (2FA) on any accounts for extra security?,"If you receive a suspicious email, what is your first reaction?",How often do you read privacy policies before accepting them?,"If a pop-up warns you about a security risk, what would you do?",What are the main reasons people fall for cyber scams?,Why do you think people fall for cyber scams?,What makes you trust a website or online service?,Did you know AI tools can analyze cybersecurity risks?,"Would you use an AI-powered assistant to explain cybersecurity threats in simple terms? 
","Have you ever used AI tools (e.g., ChatGPT, Gemini, DeepSeek) for cybersecurity advice?","What concerns, if any, do you have about AI for Cyber Security?","If an AI could help you improve your cybersecurity knowledge, how would you like it to assist you?",What is the biggest challenge in learning cybersecurity?,Would you like to be updated on the results of this project?,Please enter your email if you’d like to receive updates.,"Is there anything missing from this survey or anything you would like to add about cybersecurity awareness? 
"
1,2/24/2025 12:15,2/24/2025 12:18,anonymous,,18-24,Student,Daily,Smartphone;Tablet;,Basic ,,No,,All of the above;,No,Reuse passwords across accounts;Use a password manager;,Only when required,,Yes,Ignore it;,Rarely,I don’t know;,,Because they are uninformed,HTTPS padlock symbol;,,"Yes, but only if it’s interactive",,,"Quick answers to security questions;Gamified learning (quizzes, challenges);",,Yes,,
2,2/24/2025 23:12,2/24/2025 23:20,anonymous,,25-34,Non-IT office job,Daily,Smartphone;Laptop;,Good ,,Yes,Data breach;,Phishing;Ransomware;AI-driven cyber attacks;,News & articles;,Reuse passwords across accounts;,Never,Too difficult to remember new passwords,Yes,Ignore it;Verify sender details before taking action;,Rarely,Close it immediately;,,"Because they are increasingly more accurate and close to reality, só it’s hard to distinguish",Recommended by friends;It looks professional;,,Yes,"I’ve used AI, but not for cybersecurity",AI could collect too much personal data,"Real-time alerts for threats;Interactive scenarios (e.g., how to recognize a scam);",I learn best through interactive learning,Yes,,It seems like a very interesting project and I’m keen to see the results 
3,2/24/2025 23:04,2/24/2025 23:23,anonymous,,55-64,Self-employed,Daily,Smartphone;Laptop;,Some ,,Yes,Phishing;,All of the above;,News & articles;,Reuse passwords across accounts;,Only when required,Too difficult to remember new passwords,Yes,Ignore it;,Rarely,Read carefully before taking action;,,"Because they are increasingly well done, because in the rush of everyday life with the intensity and speed with which we have to respond to so many online interactions, we do not give due attention to what we are doing.
And through ignorance, lack of clearer and simpler information…",HTTPS padlock symbol;,,"Yes, but only if it’s interactive",Yes,"No concerns, I fully trust AI","Quick answers to security questions;Real-time alerts for threats;Interactive scenarios (e.g., how to recognize a scam);",Cyber Security is too technical and complex,Yes,,
4,2/24/2025 23:11,2/24/2025 23:29,anonymous,,35-44,Non-IT office job,Daily,Smartphone;Laptop;,Good ,,No,not applicable ;,Phishing;Ransomware;Weak passwords;AI-driven cyber attacks;,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);News & articles;",Create unique passwords for each account;,Every few months,,Yes,Report it;Verify sender details before taking action;,Sometimes,Read carefully before taking action;Google the warning for more info;,,Increasingly elaborate and realistic and on the other hand due to laziness,HTTPS padlock symbol;looking google safe browsing ;,,Yes,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats,"Step-by-step guides;Quick answers to security questions;Real-time alerts for threats;Short educational videos explaining security concepts;Gamified learning (quizzes, challenges);Interactive scenarios (e.g., how to recognize a scam);", threats are constantly changing and developing,Yes,,We are never 100% safe :)
5,2/25/2025 18:16,2/25/2025 18:22,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Good ,Using a password manager to generate and store unique passwords.,No,,Phishing;AI-driven cyber attacks;Ransomware;Weak passwords,"Formal training at work or school;Social media (TikTok, Twitter, Instagram, etc.);News & articles",Create unique passwords for each account;Use a password manager,Only when required,Takes too much time,Yes,Verify sender details before taking action;Ignore it;Report it,Never,Google the warning for more info;Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,No,Maybe,No, AI might make mistakes and misidentify threats,"Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time)",I think I already know enough,Yes,,
6,2/25/2025 18:20,2/25/2025 18:24,anonymous,,18-24,Student,Daily,Smartphone;Laptop;Tablet,Some ,Using a password manager to generate and store unique passwords.,Yes,Hacked account,Phishing;Ransomware;Public WiFi risks;Weak passwords;AI-driven cyber attacks,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);News & articles",Use a password manager,Only when required,,Yes,Ignore it,Never,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,"Yes, but only if it’s interactive",Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches)",I think I already know enough,Yes,,
7,2/28/2025 9:59,2/28/2025 10:09,anonymous,,35-44,Science/Research,Daily,Smartphone;Laptop;Tablet,Basic ,Using a password manager to generate and store unique passwords.,Not sure,Phishing;Data breach,Phishing;Ransomware;Public WiFi risks;Weak passwords;AI-driven cyber attacks,I don’t actively learn about cybersecurity,Use a password manager,Only when required,Takes too much time,Yes,Report it;Verify sender details before taking action,Sometimes,Google the warning for more info,"Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent;Some of the 'good' cyber scams understand how people work and lean into that, it's like people hardly have a chance.",,,No,Maybe,Yes,AI could collect too much personal data;AI could be biased and not work equally for everyone,"Cybersecurity challenges or mini-games to learn security skills. ;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches)","The day-to-day hassle has me direct my attention elsewhere, plus it feels like the area evolves so fast, it's hard to keep up",Yes,,
8,2/28/2025 19:44,2/28/2025 19:47,anonymous,,18-24,Student,Daily,Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,Phishing;Ransomware;Public WiFi risks,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Every few months,Takes too much time,No,Ignore it,Rarely,Ignore it and continue,They don’t recognize the scam;Scammers are getting more convincing,,,No,No,No,AI could be biased and not work equally for everyone,Quick answers to security questions, I don’t know where to start,Yes,,
9,3/1/2025 18:17,3/1/2025 18:27,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Very,Using a password manager to generate and store unique passwords.,Yes,Phishing,Phishing;Ransomware;Public WiFi risks;Weak passwords;AI-driven cyber attacks,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);Social media (TikTok, Twitter, Instagram, etc.);News & articles",Use a password manager;Create unique passwords for each account,Only when required,I don’t think it’s necessary,Yes,Verify sender details before taking action,Rarely,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,Yes,Yes,Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Step-by-step guides;Quick answers to security questions; Hands-on simulations (e.g., recognizing phishing emails in real-time)",I learn best through interactive learning,Yes,,
10,3/1/2025 18:41,3/1/2025 18:51,anonymous,,18-24,IT/Cybersecurity professional,Daily,Laptop;Smartphone,Good ,Using a password manager to generate and store unique passwords.,No,Data breach,Ransomware;Phishing;Public WiFi risks;Weak passwords;AI-driven cyber attacks,"Online courses (YouTube, Udemy, etc.);Formal training at work or school",Create unique passwords for each account,Once a year,"I use a password manager, so I don’t need to",Yes,Report it;Verify sender details before taking action,Rarely,Read carefully before taking action,Scammers are getting more convincing;They are in a rush and don’t double-check,,,Yes,No,Yes,AI replacing human cybersecurity experts;AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time)",none,No,,
